Symbol;PriceChangePercentile
A2XI;60790.49519700
A2ZN;3.25260400
A3AL;6.44163800
A3AP;7.83932300
A3HO;25192.20724100
A3KU;71611.57690500
A3NN;32991.25724700
A3V;5.78023300
A5OM;62357.70233000
A6IR;0.85507200
A7IR;140370.60112200
A8IR;109177.89233400
AA9F;12.19385900
AAI;664.72785400
AAIF;11.61963400
AAIG;11.61224700
AALG;15.31642000
AAPH;10.25433600
AAR;134.45827200
ABB1;932.74574900
ABB2;560.87524200
ABB4;1682.41190300
ABB5;383.59506000
ABBE;234.96353900
ABBF;8.73198800
ABBN;286.70326000
ABBP;9.60609700
ABFF;10.08037500
ABNF;14.24695400
ABTF;7.92000000
ABVF;8.05456800
ACAF;8.59728900
ACE;148.68330300
ACEF;10.94199400
ACEP;10.94199400
ACKB;447.35610900
ACKF;9.53622500
ACR;271.39911300
ACRI;13.56350100
ACRP;14.97903000
ADEF;11.66712600
ADEN;210.44929600
ADJF;37.48831600
ADPF;9.15468600
ADS;164.19448800
ADS1;569.94436600
ADS2;254.36192400
ADS4;348.71557800
ADS5;345.38266700
ADSE;205.97473300
ADSG;10.95556000
ADSP;10.95556000
ADV;665.13615800
ADYF;20.13813000
ADYP;20.13813000
AEAF;10.47607200
AEMF;11.43449600
AEN;817.99621100
AENF;16.82567000
AENP;10.46179100
AER;362.99544300
AFR;163.46200300
AFRF;17.50589700
AFRG;17.49947800
AFX;173.06456100
AFXF;12.23995200
AGGF;27.88877200
AGNP;16.82567000
AHAB;212.05126100
AHO;132.47751100
AHOI;7.92000000
AHOP;7.92000000
AI3F;11.50019800
AI3P;12.77799800
AIR;121.43144700
AIR1;319.81901900
AIR2;204.72541800
AIR4;352.62497300
AIR5;193.45429600
AIRN;6.83234100
AIRO;6.81373900
AIRP;6.80329100
AIRQ;6.78499600
AIX;146.60311700
AKE;1017.37202900
AKU;664.95432100
AKUH;11.08691200
AKUP;11.08691200
ALBF;24.14908000
ALCF;10.02647200
ALCP;8.80000000
ALFF;19.32692200
ALKF;17.47414100
ALL;20471.50968900
