ExtendedPriceRangeTableId;Description;PriceIntervalStart;PriceRangeAbsolute;PriceRangePercentage;Market
229;EXTENDED_SPREAD_PRICE_RANGE_M_0_P_20;0E-8;0E-8;20.0000;EUREX
230;EXTENDED_SPREAD_PRICE_RANGE_M_0_P_10;0E-8;0E-8;10.0000;EUREX
231;EXTENDED_SPREAD_PRICE_RANGE_A_200_M_20000_P_1;0E-8;200.00000000;0.0000;EUREX
231;EXTENDED_SPREAD_PRICE_RANGE_A_200_M_20000_P_1;20000.00000000;0E-8;1.0000;EUREX
232;EXTENDED_SPREAD_PRICE_RANGE_A_20_M_2000_P_1;0E-8;20.00000000;0.0000;EUREX
232;EXTENDED_SPREAD_PRICE_RANGE_A_20_M_2000_P_1;2000.00000000;0E-8;1.0000;EUREX
233;EXTENDED_SPREAD_PRICE_RANGE_A_40_M_1000_P_4;0E-8;40.00000000;0.0000;EUREX
233;EXTENDED_SPREAD_PRICE_RANGE_A_40_M_1000_P_4;1000.00000000;0E-8;4.0000;EUREX
234;EXTENDED_SPREAD_PRICE_RANGE_A_4_M_400_P_1;0E-8;4.00000000;0.0000;EUREX
234;EXTENDED_SPREAD_PRICE_RANGE_A_4_M_400_P_1;400.00000000;0E-8;1.0000;EUREX
235;EXTENDED_SPREAD_PRICE_RANGE_A_4_M_200_P_2;0E-8;4.00000000;0.0000;EUREX
235;EXTENDED_SPREAD_PRICE_RANGE_A_4_M_200_P_2;200.00000000;0E-8;2.0000;EUREX
236;EXTENDED_SPREAD_PRICE_RANGE_A_20_M_100_P_20;0E-8;20.00000000;0.0000;EUREX
236;EXTENDED_SPREAD_PRICE_RANGE_A_20_M_100_P_20;100.00000000;0E-8;20.0000;EUREX
237;EXTENDED_SPREAD_PRICE_RANGE_A_5_M_100_P_5;0E-8;5.00000000;0.0000;EUREX
237;EXTENDED_SPREAD_PRICE_RANGE_A_5_M_100_P_5;100.00000000;0E-8;5.0000;EUREX
238;EXTENDED_SPREAD_PRICE_RANGE_A_1_M_100_P_1;0E-8;1.00000000;0.0000;EUREX
