#Contract;ISIN;Coupon;Maturity;ConvFac
CONF SI 20221208 PS;CH0127181029;2.250000;22.06.2031;0.755709
CONF SI 20221208 PS;CH0557778310;0.250000;23.06.2035;0.504235
CONF SI 20221208 PS;CH0344958688;0.500000;27.06.2032;0.610291
CONF SI 20221208 PS;CH0440081393;0.000000;26.06.2034;0.511661
CONF SI 20221208 PS;CH0015803239;3.500000;08.04.2033;0.812441
CONF SI 20230308 PS;CH0024524966;2.500000;08.03.2036;0.691432
CONF SI 20230308 PS;CH0127181029;2.250000;22.06.2031;0.761338
CONF SI 20230308 PS;CH0557778310;0.250000;23.06.2035;0.511028
CONF SI 20230308 PS;CH0344958688;0.500000;27.06.2032;0.618033
CONF SI 20230308 PS;CH0440081393;0.000000;26.06.2034;0.519169
CONF SI 20230308 PS;CH0015803239;3.500000;08.04.2033;0.815998
CONF SI 20230608 PS;CH0127181029;2.250000;22.06.2031;0.767133
CONF SI 20230608 PS;CH0557778310;0.250000;23.06.2035;0.517929
CONF SI 20230608 PS;CH0024524966;2.500000;08.03.2036;0.695359
CONF SI 20230608 PS;CH0344958688;0.500000;27.06.2032;0.625907
CONF SI 20230608 PS;CH0440081393;0.000000;26.06.2034;0.526788
CONF SI 20230608 PS;CH0015803239;3.500000;08.04.2033;0.819222
FBON SI 20221208 PS;ES0000012K61;2.550000;31.10.2032;0.748070
FBON SI 20221208 PS;ES0000012K20;0.700000;30.04.2032;0.627988
FBON SI 20221208 PS;ES0000012I32;0.500000;31.10.2031;0.629542
FBON SI 20230308 PS;ES0000012I32;0.500000;31.10.2031;0.637251
FBON SI 20230308 PS;ES0000012K20;0.700000;30.04.2032;0.635246
FBON SI 20230308 PS;ES0000012K61;2.550000;31.10.2032;0.752547
FBON SI 20230608 PS;ES0000012K61;2.550000;31.10.2032;0.757495
FBON SI 20230608 PS;ES0000012K20;0.700000;30.04.2032;0.643081
FBTM SI 20221208 PS;IT0005433690;0.250000;15.03.2028;0.747306
FBTM SI 20221208 PS;IT0004889033;4.750000;01.09.2028;0.944182
FBTM SI 20221208 PS;IT0005323032;2.000000;01.02.2028;0.828736
FBTM SI 20221208 PS;IT0005445306;0.500000;15.07.2028;0.745185
FBTM SI 20221208 PS;IT0005416570;0.950000;15.09.2027;0.796795
FBTM SI 20221208 PS;IT0005340929;2.800000;01.12.2028;0.845315
FBTM SI 20221208 PS;IT0005274805;2.050000;01.08.2027;0.845119
FBTM SI 20221208 PS;IT0005500068;2.650000;01.12.2027;0.861244
FBTM SI 20230308 PS;IT0005445306;0.500000;15.07.2028;0.754548
FBTM SI 20230308 PS;IT0005340929;2.800000;01.12.2028;0.850550
FBTM SI 20230308 PS;IT0005323032;2.000000;01.02.2028;0.835673
FBTM SI 20230308 PS;IT0005467482;0.450000;15.02.2029;0.729826
FBTM SI 20230308 PS;IT0005433690;0.250000;15.03.2028;0.757368
FBTM SI 20230308 PS;IT0004889033;4.750000;01.09.2028;0.946258
FBTM SI 20230308 PS;IT0005416570;0.950000;15.09.2027;0.805885
