"Datum","Zuletzt","Eröffn.","Hoch","Tief","+/- %"
"29.11.2017","-0,438","-0,467","-0,424","-0,472","-7,81%"
"28.11.2017","-0,475","-0,474","-0,466","-0,486","0,34%"
"27.11.2017","-0,473","-0,455","-0,447","-0,477","3,32%"
"26.11.2017","-0,458","-0,458","-0,458","-0,458","0,35%"
"25.11.2017","-0,456","-0,456","-0,456","-0,456","-0,15%"
"24.11.2017","-0,457","-0,457","-0,441","-0,462","-0,61%"
"23.11.2017","-0,460","-0,469","-0,453","-0,471","-0,93%"
"22.11.2017","-0,464","-0,479","-0,440","-0,488","-3,61%"
"21.11.2017","-0,482","-0,480","-0,474","-0,494","-0,25%"
"20.11.2017","-0,483","-0,489","-0,476","-0,497","-0,68%"
"19.11.2017","-0,486","-0,486","-0,486","-0,486","0,31%"
"18.11.2017","-0,485","-0,485","-0,485","-0,485","-0,31%"
"17.11.2017","-0,486","-0,481","-0,469","-0,488","1,78%"
"16.11.2017","-0,478","-0,481","-0,463","-0,487","-0,71%"
"15.11.2017","-0,481","-0,474","-0,471","-0,499","2,10%"
"14.11.2017","-0,471","-0,462","-0,452","-0,475","0,90%"
"13.11.2017","-0,467","-0,473","-0,460","-0,486","-1,23%"
"12.11.2017","-0,473","-0,473","-0,473","-0,473","0,38%"
"10.11.2017","-0,471","-0,479","-0,467","-0,489","-4,11%"
"09.11.2017","-0,491","-0,513","-0,480","-0,522","-4,68%"
"08.11.2017","-0,515","-0,517","-0,512","-0,529","-0,10%"
"07.11.2017","-0,516","-0,508","-0,498","-0,520","1,20%"
"06.11.2017","-0,510","-0,496","-0,488","-0,516","3,16%"
"05.11.2017","-0,494","-0,494","-0,494","-0,494","0,14%"
"03.11.2017","-0,493","-0,490","-0,484","-0,503","0,00%"
"02.11.2017","-0,493","-0,489","-0,468","-0,495","1,31%"
"01.11.2017","-0,487","-0,489","-0,477","-0,498","-0,67%"
"31.10.2017","-0,490","-0,498","-0,475","-0,500","-1,43%"
"30.10.2017","-0,497","-0,495","-0,479","-0,500","0,67%"
"29.10.2017","-0,494","-0,492","-0,492","-0,494","-1,42%"
"27.10.2017","-0,501","-0,444","-0,444","-0,506","7,33%"
"26.10.2017","-0,467","-0,410","-0,394","-0,467","0,15%"
"25.10.2017","-0,466","-0,471","-0,449","-0,483","-1,12%"
"24.10.2017","-0,471","-0,505","-0,466","-0,508","-6,89%"
"23.10.2017","-0,506","-0,493","-0,492","-0,510","2,37%"
"22.10.2017","-0,495","-0,493","-0,493","-0,495","0,39%"
"21.10.2017","-0,493","-0,493","-0,490","-0,493","1,17%"
"20.10.2017","-0,487","-0,508","-0,479","-0,518","-6,09%"
"19.10.2017","-0,519","-0,509","-0,503","-0,531","1,17%"
"18.10.2017","-0,513","-0,533","-0,509","-0,542","-3,81%"
"17.10.2017","-0,533","-0,538","-0,528","-0,549","-1,39%"
"16.10.2017","-0,540","-0,512","-0,508","-0,545","3,56%"
"15.10.2017","-0,522","-0,522","-0,522","-0,522","0,87%"
"13.10.2017","-0,517","-0,488","-0,484","-0,519","5,87%"
"12.10.2017","-0,489","-0,468","-0,467","-0,495","4,63%"
"11.10.2017","-0,467","-0,472","-0,460","-0,482","-3,11%"
"10.10.2017","-0,482","-0,477","-0,462","-0,494","0,31%"
"09.10.2017","-0,481","-0,476","-0,467","-0,487","1,50%"
"06.10.2017","-0,473","-0,473","-0,440","-0,480","0,00%"
"05.10.2017","-0,474","-0,485","-0,468","-0,494","-3,35%"
"04.10.2017","-0,490","-0,491","-0,485","-0,521","0,47%"
"03.10.2017","-0,488","-0,485","-0,462","-0,494","-0,41%"
"02.10.2017","-0,490","-0,472","-0,454","-0,496","3,40%"
"01.10.2017","-0,474","-0,474","-0,474","-0,474","-0,27%"
"29.09.2017","-0,475","-0,468","-0,463","-0,496","-0,71%"
"28.09.2017","-0,478","-0,452","-0,436","-0,478","-0,10%"
"27.09.2017","-0,479","-0,499","-0,454","-0,508","-6,23%"
"26.09.2017","-0,511","-0,513","-0,493","-0,516","0,31%"
"25.09.2017","-0,509","-0,469","-0,458","-0,516","8,51%"
"24.09.2017","-0,469","-0,469","-0,469","-0,469","0,39%"
"23.09.2017","-0,467","-0,467","-0,467","-0,467","0,52%"
"22.09.2017","-0,465","-0,470","-0,447","-0,475","0,37%"
"21.09.2017","-0,463","-0,461","-0,440","-0,474","-3,84%"
"20.09.2017","-0,482","-0,470","-0,465","-0,490","0,90%"
"19.09.2017","-0,477","-0,475","-0,463","-0,491","0,72%"
"18.09.2017","-0,474","-0,481","-0,466","-0,497","-2,87%"
"17.09.2017","-0,488","-0,488","-0,488","-0,488","0,37%"
"16.09.2017","-0,486","-0,486","-0,486","-0,486","-0,29%"
"15.09.2017","-0,488","-0,515","-0,467","-0,527","-4,67%"
"14.09.2017","-0,511","-0,526","-0,500","-0,540","-1,63%"
"13.09.2017","-0,520","-0,527","-0,511","-0,539","-1,08%"
"12.09.2017","-0,526","-0,565","-0,518","-0,567","-6,97%"
"11.09.2017","-0,565","-0,560","-0,555","-0,575","-2,01%"
"10.09.2017","-0,577","-0,577","-0,577","-0,577","0,31%"
"09.09.2017","-0,575","-0,575","-0,575","-0,575","-0,48%"
"08.09.2017","-0,578","-0,590","-0,560","-0,596","-0,70%"
"07.09.2017","-0,582","-0,541","-0,529","-0,587","5,51%"
"06.09.2017","-0,551","-0,577","-0,542","-0,581","-3,09%"
"05.09.2017","-0,569","-0,546","-0,528","-0,571","4,62%"
"04.09.2017","-0,544","-0,539","-0,527","-0,548","3,03%"
"03.09.2017","-0,528","-0,528","-0,528","-0,528","0,34%"
"02.09.2017","-0,526","-0,526","-0,526","-0,526","-0,96%"
"01.09.2017","-0,531","-0,537","-0,507","-0,539","-0,71%"
"31.08.2017","-0,535","-0,524","-0,516","-0,544","-4,74%"
"30.08.2017","-0,562","-0,567","-0,542","-0,571","-1,34%"
"29.08.2017","-0,569","-0,559","-0,551","-0,586","2,78%"
"28.08.2017","-0,554","-0,529","-0,521","-0,559","3,24%"
"27.08.2017","-0,536","-0,536","-0,536","-0,536","0,47%"
"26.08.2017","-0,534","-0,534","-0,534","-0,534","0,26%"
"25.08.2017","-0,532","-0,530","-0,507","-0,539","-1,28%"
"24.08.2017","-0,539","-0,537","-0,519","-0,544","1,58%"
"23.08.2017","-0,531","-0,513","-0,495","-0,536","3,55%"
"22.08.2017","-0,513","-0,511","-0,494","-0,518","0,98%"
"21.08.2017","-0,508","-0,495","-0,482","-0,513","2,26%"
"20.08.2017","-0,496","-0,496","-0,496","-0,496","0,98%"
"18.08.2017","-0,492","-0,496","-0,486","-0,513","0,99%"
"17.08.2017","-0,487","-0,494","-0,470","-0,501","1,04%"
"16.08.2017","-0,482","-0,491","-0,459","-0,504","-1,13%"
"15.08.2017","-0,487","-0,497","-0,472","-0,511","-5,36%"
"14.08.2017","-0,515","-0,513","-0,494","-0,521","-1,25%"
"13.08.2017","-0,521","-0,521","-0,521","-0,521","0,46%"
"12.08.2017","-0,519","-0,519","-0,519","-0,519","-0,27%"
"11.08.2017","-0,521","-0,506","-0,494","-0,529","5,11%"
"10.08.2017","-0,495","-0,487","-0,477","-0,503","1,91%"
"09.08.2017","-0,486","-0,463","-0,454","-0,498","7,81%"
"08.08.2017","-0,451","-0,467","-0,444","-0,471","-3,94%"
"07.08.2017","-0,469","-0,453","-0,435","-0,472","1,56%"
"06.08.2017","-0,462","-0,460","-0,460","-0,462","0,33%"
"04.08.2017","-0,461","-0,472","-0,441","-0,472","-0,73%"
"03.08.2017","-0,464","-0,457","-0,440","-0,469","0,26%"
"02.08.2017","-0,463","-0,462","-0,447","-0,474","0,46%"
"01.08.2017","-0,461","-0,425","-0,413","-0,474","8,58%"
"31.07.2017","-0,424","-0,437","-0,412","-0,441","-1,76%"
"30.07.2017","-0,432","-0,432","-0,432","-0,432","0,54%"
"28.07.2017","-0,430","-0,427","-0,389","-0,433","2,04%"
"27.07.2017","-0,421","-0,412","-0,398","-0,432","4,99%"
"26.07.2017","-0,401","-0,397","-0,388","-0,412","1,83%"
"25.07.2017","-0,394","-0,425","-0,383","-0,430","-4,40%"
"24.07.2017","-0,412","-0,400","-0,397","-0,429","0,27%"
"23.07.2017","-0,411","-0,411","-0,411","-0,411","0,59%"
"22.07.2017","-0,408","-0,408","-0,408","-0,408","0,39%"
"21.07.2017","-0,407","-0,389","-0,388","-0,422","3,70%"
"20.07.2017","-0,392","-0,384","-0,364","-0,410","3,05%"
"19.07.2017","-0,381","-0,371","-0,359","-0,394","2,04%"
"18.07.2017","-0,373","-0,361","-0,346","-0,383","4,16%"
"17.07.2017","-0,358","-0,343","-0,333","-0,367","3,17%"
"16.07.2017","-0,347","-0,345","-0,345","-0,347","0,00%"
"14.07.2017","-0,347","-0,355","-0,332","-0,382","-1,62%"
"13.07.2017","-0,352","-0,369","-0,339","-0,392","-3,35%"
"12.07.2017","-0,364","-0,354","-0,329","-0,373","5,87%"
"11.07.2017","-0,344","-0,353","-0,326","-0,360","-2,52%"
"10.07.2017","-0,353","-0,347","-0,334","-0,374","1,38%"
"09.07.2017","-0,348","-0,348","-0,348","-0,348","0,66%"
"08.07.2017","-0,346","-0,346","-0,346","-0,346","1,58%"
"07.07.2017","-0,341","-0,333","-0,311","-0,357","1,52%"
