"Datum","Zuletzt","Eröffn.","Hoch","Tief","+/- %"
"15.09.2018","-0,554","-0,546","-0,546","-0,554","3,24%"
"14.09.2018","-0,536","-0,553","-0,536","-0,566","-3,25%"
"13.09.2018","-0,554","-0,547","-0,538","-0,572","-0,50%"
"12.09.2018","-0,557","-0,541","-0,537","-0,565","2,65%"
"11.09.2018","-0,543","-0,542","-0,537","-0,558","-2,20%"
"10.09.2018","-0,555","-0,558","-0,543","-0,572","-1,87%"
"09.09.2018","-0,566","-0,566","-0,566","-0,566","0,68%"
"08.09.2018","-0,562","-0,573","-0,562","-0,573","-0,43%"
"07.09.2018","-0,564","-0,579","-0,554","-0,592","-3,22%"
"06.09.2018","-0,583","-0,571","-0,563","-0,593","1,46%"
"05.09.2018","-0,575","-0,602","-0,558","-0,620","-3,61%"
"04.09.2018","-0,596","-0,622","-0,588","-0,622","-4,29%"
"03.09.2018","-0,623","-0,625","-0,604","-0,632","-0,22%"
"02.09.2018","-0,624","-0,624","-0,624","-0,624","0,60%"
"01.09.2018","-0,621","-0,613","-0,613","-0,621","0,00%"
"31.08.2018","-0,620","-0,613","-0,599","-0,626","-0,23%"
"30.08.2018","-0,622","-0,586","-0,582","-0,626","5,29%"
"29.08.2018","-0,590","-0,594","-0,578","-0,600","0,00%"
"28.08.2018","-0,590","-0,597","-0,585","-0,608","-1,19%"
"27.08.2018","-0,598","-0,605","-0,592","-0,616","-2,53%"
"26.08.2018","-0,613","-0,613","-0,613","-0,613","0,61%"
"25.08.2018","-0,609","-0,606","-0,606","-0,609","-0,23%"
"24.08.2018","-0,611","-0,611","-0,598","-0,616","-0,15%"
"23.08.2018","-0,612","-0,610","-0,598","-0,624","1,07%"
"22.08.2018","-0,605","-0,619","-0,604","-0,628","-1,45%"
"21.08.2018","-0,614","-0,634","-0,609","-0,637","-3,15%"
"20.08.2018","-0,634","-0,635","-0,621","-0,654","-0,38%"
"19.08.2018","-0,636","-0,636","-0,636","-0,636","0,60%"
"18.08.2018","-0,633","-0,627","-0,627","-0,633","1,41%"
"17.08.2018","-0,624","-0,625","-0,621","-0,655","0,76%"
"16.08.2018","-0,619","-0,640","-0,619","-0,652","-3,54%"
"15.08.2018","-0,642","-0,628","-0,623","-0,658","1,76%"
"14.08.2018","-0,631","-0,647","-0,625","-0,654","-4,27%"
"13.08.2018","-0,659","-0,641","-0,633","-0,669","0,92%"
"12.08.2018","-0,653","-0,653","-0,653","-0,653","0,59%"
"11.08.2018","-0,649","-0,619","-0,619","-0,649","1,28%"
"10.08.2018","-0,641","-0,613","-0,613","-0,650","3,59%"
"09.08.2018","-0,619","-0,612","-0,596","-0,624","2,11%"
"08.08.2018","-0,606","-0,578","-0,578","-0,609","3,20%"
"07.08.2018","-0,587","-0,600","-0,580","-0,606","-2,73%"
"06.08.2018","-0,604","-0,597","-0,589","-0,605","-0,17%"
"05.08.2018","-0,604","-0,604","-0,604","-0,604","0,62%"
"04.08.2018","-0,601","-0,594","-0,571","-0,601","1,23%"
"03.08.2018","-0,594","-0,584","-0,571","-0,614","2,50%"
"02.08.2018","-0,579","-0,564","-0,556","-0,589","2,48%"
"01.08.2018","-0,565","-0,579","-0,552","-0,582","-2,82%"
"31.07.2018","-0,581","-0,592","-0,573","-0,607","-1,77%"
"30.07.2018","-0,592","-0,604","-0,584","-0,614","-3,69%"
"29.07.2018","-0,615","-0,615","-0,615","-0,615","0,61%"
"28.07.2018","-0,611","-0,614","-0,611","-0,614","0,30%"
"27.07.2018","-0,609","-0,610","-0,599","-0,618","0,00%"
"26.07.2018","-0,609","-0,595","-0,595","-0,620","-0,08%"
"25.07.2018","-0,610","-0,613","-0,604","-0,626","-1,10%"
"24.07.2018","-0,616","-0,610","-0,599","-0,620","1,70%"
"23.07.2018","-0,606","-0,628","-0,605","-0,632","-4,58%"
"22.07.2018","-0,635","-0,635","-0,635","-0,635","0,57%"
