"Datum","Zuletzt","Eröffn.","Hoch","Tief","+/- %"
"09.01.2018","-0,198","-0,210","-0,196","-0,239","-8,33%"
"08.01.2018","-0,216","-0,205","-0,195","-0,233","4,35%"
"05.01.2018","-0,207","-0,214","-0,196","-0,220","0,00%"
"04.01.2018","-0,207","-0,201","-0,187","-0,216","0,49%"
"03.01.2018","-0,206","-0,190","-0,185","-0,226","10,75%"
"02.01.2018","-0,186","-0,205","-0,174","-0,209","-7,92%"
"01.01.2018","-0,202","-0,204","-0,202","-0,209","0,00%"
"29.12.2017","-0,202","-0,201","-0,185","-0,209","-1,46%"
"28.12.2017","-0,205","-0,224","-0,191","-0,234","-10,87%"
"27.12.2017","-0,230","-0,202","-0,200","-0,239","9,00%"
"26.12.2017","-0,211","-0,204","-0,204","-0,211","-2,31%"
"25.12.2017","-0,216","-0,211","-0,204","-0,216","2,37%"
"22.12.2017","-0,211","-0,237","-0,211","-0,239","-7,05%"
"21.12.2017","-0,227","-0,235","-0,216","-0,258","-9,56%"
"20.12.2017","-0,251","-0,264","-0,226","-0,280","-10,36%"
"19.12.2017","-0,280","-0,326","-0,275","-0,335","-14,63%"
"18.12.2017","-0,328","-0,337","-0,314","-0,338","-1,80%"
"16.12.2017","-0,334","-0,334","-0,334","-0,334","-0,89%"
"15.12.2017","-0,337","-0,344","-0,332","-0,362","-2,32%"
"14.12.2017","-0,345","-0,356","-0,314","-0,361","-2,54%"
"13.12.2017","-0,354","-0,350","-0,329","-0,362","-0,28%"
"12.12.2017","-0,355","-0,358","-0,337","-0,367","-2,20%"
"11.12.2017","-0,363","-0,367","-0,359","-0,378","0,00%"
"08.12.2017","-0,363","-0,380","-0,361","-0,387","-6,68%"
"07.12.2017","-0,389","-0,372","-0,367","-0,392","2,10%"
"06.12.2017","-0,381","-0,363","-0,351","-0,386","4,67%"
"05.12.2017","-0,364","-0,333","-0,324","-0,364","10,64%"
"04.12.2017","-0,329","-0,322","-0,317","-0,344","-5,46%"
"02.12.2017","-0,348","-0,346","-0,346","-0,348","0,58%"
"01.12.2017","-0,346","-0,289","-0,289","-0,319","12,70%"
"30.11.2017","-0,307","-0,297","-0,271","-0,309","2,68%"
"29.11.2017","-0,299","-0,335","-0,286","-0,341","-11,80%"
"28.11.2017","-0,339","-0,341","-0,332","-0,352","-0,88%"
"27.11.2017","-0,342","-0,322","-0,315","-0,345","4,59%"
"25.11.2017","-0,327","-0,326","-0,326","-0,327","0,31%"
"24.11.2017","-0,326","-0,326","-0,308","-0,328","-1,51%"
"23.11.2017","-0,331","-0,333","-0,321","-0,339","-0,90%"
"22.11.2017","-0,334","-0,345","-0,304","-0,354","-3,75%"
"21.11.2017","-0,347","-0,337","-0,333","-0,358","0,58%"
"20.11.2017","-0,345","-0,357","-0,337","-0,361","-1,43%"
"17.11.2017","-0,350","-0,343","-0,332","-0,351","2,64%"
"16.11.2017","-0,341","-0,345","-0,325","-0,350","-1,45%"
"15.11.2017","-0,346","-0,336","-0,332","-0,368","4,53%"
"14.11.2017","-0,331","-0,318","-0,309","-0,336","2,16%"
"13.11.2017","-0,324","-0,338","-0,317","-0,344","-0,61%"
"10.11.2017","-0,326","-0,342","-0,322","-0,352","-7,39%"
"09.11.2017","-0,352","-0,373","-0,339","-0,383","-7,37%"
"08.11.2017","-0,380","-0,375","-0,371","-0,392","0,00%"
